id,dam_name,geo_region,res_sed_rate_m3,drainage_sqkm,year_comp,utm_x,utm_y,year,stor_cap_m3,2020,%  capacity remaining
370,FAUCHERIE,SN,96.74021986,25.9,23377,708730.6546,4366908.403,1964,6784151,6717929.539,99.02387991
371,FAY GUNBY,SN,96.74021986,1.81,22282,696749.4786,4288854.72,1961,144317.394,134422.5865,93.143718
372,FEATHER R HATCHERY,SN,96.74021986,9427.6,23377,625066.447,4375470.696,1964,715419.56,669067.4601,93.52099069
377,FINNON LAKE,SN,96.74021986,0.7,1828,695258.9792,4296406.414,1905,493392.8,485590.6219,98.41866804
380,FLORENCE LAKE,SN,96.74021986,442.89,9498,857505.9387,4132986.033,1926,79443641.69,75481173.07,95.01222686
381,FLOTATION TAILS,SN,96.74021986,0,32509,703122.5862,4208153.181,1989,3823794.2,3823794.2,100
382,FLOWERS,SN,96.74021986,33.93,20821,703649.6881,4204631.514,1957,912776.68,761925.7175,83.47339872
383,FLY-IH ACRES,SN,96.74021986,6.35,19360,733079.1319,4236147.346,1953,123348.2,90783.69275,73.5995278
389,FORBESTOWN DIV,SN,96.74021986,229.47,22647,653940.4174,4379322.319,1962,441586.556,329936.0246,74.71604832
391,FOREST MEADOWS,SN,96.74021986,1.11,27395,726778.2395,4226527.644,1975,133216.056,128468.1262,96.43591773
396,FRENCH LAKE,SN,96.74021986,13.73,1/1/1859,711768.8549,4366065.052,1859,15418525,15204264.52,98.61036977
397,FRENCHMAN,SN,96.74021986,212.38,22282,740548.0019,4419312.778,1961,68429880.91,67215246.26,98.22499377
398,FULLER LAKE,SN,96.74021986,1.42,1/1/1870,702658.8582,4357491.615,1870,1307490.92,1286855.449,98.42175034
401,GASTALDI,SN,96.74021986,0.28,18629,684641.4301,4292080.823,1951,102379.006,100507.4902,98.17197312
402,GATZMAN,SN,96.74021986,0.41,20455,716347.595,4178675.983,1956,94978.114,92452.579,97.34092951
403,GEM LAKE,SN,96.74021986,55.89,6211,839963.7927,4185071.562,1917,21250427.9,21050309.4,99.05828487
407,GEORGETOWN CNTRL,SN,96.74021986,0.05,20455,692889.6499,4310414.819,1956,61674.1,61360.90647,99.49217981
408,GEOTHERM WW EVAP3,SN,96.74021986,0,,712513.9688,4290370.808,?,61674.1,61674.1,100
410,GERLE,SN,96.74021986,80.03,22647,725972.4715,4316660.738,1962,1480178.4,1215655.208,82.12896551
413,GIFFEN RESERVOIR,SN,96.74021986,2.85,25934,817620.7981,4079139.11,1971,1110133.8,1096515.788,98.77329993
418,GOFFINET,SN,96.74021986,3.5,19725,684897.5313,4249522.619,1954,242995.954,237186.8033,97.6093632
419,GOODWIN,SN,96.74021986,2580.94,4384,708631.8614,4193097.551,1912,616741,427596.8257,69.33166851
422,GRANT LAKE,SN,96.74021986,155.4,14611,842979.527,4197429.039,1940,58621232.05,57872947.42,98.72352627
428,GREEN VALLEY,SN,96.74021986,1.53,20821,751892.5541,4184684.062,1957,296035.68,286793.8126,96.87812381
433,GRINDING ROCK,SN,96.74021986,0.52,28856,741087.5975,4202317.508,1979,407049.06,404949.0607,99.48409186
434,GRIZZLY CREEK,SN,96.74021986,130.8,5480,720052.6517,4412769.172,1915,172687.48,61638.38618,35.69360453
435,GRIZZLY CREEK,SN,96.74021986,2.59,23377,658689.1233,4378307.997,1964,93744.632,81224.56415,86.64449624
436,GRIZZLY FOREBAY,SN,96.74021986,38.33,10228,646345.7277,4416925.75,1928,1371631.984,1071656.307,78.13001733
437,GRIZZLY VALLEY,SN,96.74021986,113.96,24108,715923.0497,4417465.525,1966,102379006,101775864,99.41087333
438,GROVELAND WW,SN,96.74021986,0.38,29587,743733.8528,4192213.753,1981,123348.2,121899.1258,98.82521655
442,HALSEY FOREBAY,SN,96.74021986,0,5845,669939.2614,4315439.593,1916,289868.27,289868.27,100
450,HARVEY PLACE,SN,96.74021986,13.75,32509,779520.9938,4294666.691,1989,4563883.4,4521922.303,99.0805835
457,HEENAN LAKE,SN,96.74021986,10.88,10594,790231.0926,4283379.765,1929,3700446,3604966.841,97.41979321
460,HENDERSON,SN,96.74021986,2.59,8402,685462.9189,4250275.834,1923,616741,593807.2106,96.28145537
461,HENDRICKS,SN,96.74021986,2.98,21186,775312.8123,4138769.564,1958,160352.66,143738.9485,89.63926664
470,HIGH EMIGRANT LAKE,SN,96.74021986,1.3,,794939.7637,4234090.062,?,82643.294,82643.294,100
473,HILLSIDE,SN,96.74021986,33.93,3654,893679.7921,4123110.82,1910,15890948.61,15530311.03,97.73054719
476,HINKLE,SN,96.74021986,0,29221,658816.8101,4286526.981,1980,246696.4,246696.4,100
480,HOLIDAY LAKE,SN,96.74021986,2.1,18629,681558.9874,4281091.158,1951,185022.3,171556.0315,92.72181325
481,HOLMAN,SN,96.74021986,0.16,27760,716002.4612,4214017.819,1976,308370.5,307675.6891,99.7746831
485,HOUR HOUSE,SN,96.74021986,375.55,24838,672756.6921,4364358.59,1968,351542.37,174344.7774,49.59424305
488,CARIBOU AFTERBAY,SN,96.74021986,1595.44,21551,656891.0267,4437863.574,1959,2960356.8,2833083.632,95.70074905
489,HUNTERS,SN,96.74021986,31.62,10228,731184.5475,4230909.643,1928,312070.946,159834.4907,51.21735706
490,HUNTINGTON LAKE 1,SN,96.74021986,208.24,6211,834071.0419,4126459.686,1917,109575140,107499006.6,98.10528795
491,ICE HOUSE,SN,96.74021986,73.56,21551,729198.3469,4300091.024,1959,45786851.84,45349012.16,99.04374365
492,ICE LAKES,SN,96.74021986,5.18,15342,725803.1414,4352574.085,1942,271366.04,235287.8956,86.70498918
493,INDEPENDENCE,SN,96.74021986,19.43,14246,733187.3876,4370197.173,1939,22819417,22665909.19,99.32729304
494,INDIAN CREEK,SN,96.74021986,7.92,24473,780271.4103,4293952.188,1967,3897803.12,3856827.762,98.94875764
495,INDIAN CREEK,SN,96.74021986,17.64,16803,680964.1875,4288109.944,1946,563701.274,477290.752,84.67086629
496,INDIAN OLE,SN,96.74021986,409.22,8767,667896.5228,4460866.02,1924,30590353.6,26993622.64,88.24227072
499,INTERBAY,SN,96.74021986,233.1,24108,707615.9259,4322264.83,1966,219559.796,137843.4764,62.78174737
500,IONE CANAL,SN,96.74021986,0.08,22647,683109.6477,4244855.504,1962,29603.568,29152.79795,98.47731174
508,J C JACOBSEN,SN,96.74021986,3.37,26665,906442.6145,3893964.423,1973,2244937.24,2229399.984,99.30789796
511,JACKSON CREEK,SN,96.74021986,150.22,23743,684646.8621,4241374.535,1965,27136604,26354151.85,97.11661728
512,JACKSON LAKE,SN,96.74021986,1.5,15342,709768.3358,4371009.251,1942,1233482,1222084.587,99.07599684
513,JACKSON MEADOWS,SN,96.74021986,96.12,23743,710206.3082,4376019.701,1965,64757805,64240748.42,99.20155327
514,JACOBS CREEK,SN,96.74021986,1.27,17533,679046.1193,4296024.159,1948,724053.934,715159.8855,98.77163177
518,JAMESTOWN MINES T,SN,96.74021986,0.96,33239,725104.527,4202417.571,1991,14925132.2,14922346.93,99.98133842
520,JEFF DAVIS,SN,96.74021986,1.04,26665,714845.7034,4246563.535,1973,2220267.6,2215449.088,99.78297609
526,JUNCTION,SN,96.74021986,367.78,22647,720996.1685,4303375.579,1962,4008816.5,3688241.855,92.00325968
532,KELLY LAKE,SN,96.74021986,1.3,10228,708503.6669,4353943.507,1928,357709.78,346215.9819,96.78683707
533,KELSEY,SN,96.74021986,2.95,10594,733683.9115,4158232.464,1929,1233482,1207525.401,97.89566456
534,KERCKHOFF DIV,SN,96.74021986,3781.4,7306,808730.7653,4114560.518,1920,5180624.4,2981693.098,57.55470515
536,KIDD LAKE,SN,96.74021986,1.61,1/1/1855,721469.5728,4353190.359,1855,1856390.41,1830642.698,98.61302276
537,KILMER,SN,96.74021986,1.55,,711414.5622,4181879.302,?,122114.718,122114.718,100
539,KINCAID,SN,96.74021986,1.3,1/1/1860,734588.7666,4203979.795,1860,61674.1,43570.71249,70.64669366
540,KIHNEY MEADOWS,SN,96.74021986,0.93,10594,778273.0722,4272210.502,1929,1110133.8,1101889.717,99.25737934
541,KOKILA,SN,96.74021986,0.34,18629,658713.4548,4291705.87,1951,66608.028,64361.13488,96.62669322
545,L KINNEY LAKE,SN,96.74021986,0.93,9498,776940.0315,4272905.131,1926,1134803.44,1126289.791,99.24976888
546,L L ANDERSON,SN,96.74021986,122.25,23743,718896.7793,4332012.131,1965,168253112.2,167593116.7,99.60773654
549,LA GRANGE,SN,96.74021986,4009.32,1/1/1894,725490.2953,4172257.64,1894,616741,338347.414,54.8605353
552,LADY FRANKLIN L,SN,96.74021986,3.37,1828,898153.4945,4039687.439,1905,576036.094,539275.8669,93.61841602
562,LAKE ALMANOR,SN,96.74021986,1302.77,9863,662487.5492,4448716.456,1927,1613394456,1605064807,99.48371902
563,LAKE ALTA DAM,SN,96.74021986,0.21,1/1/1862,688813.8817,4341595.705,1862,333040.14,329819.7012,99.03301783
564,LAKE ANGELA,SN,96.74021986,0.52,8767,730459.426,4355672.889,1924,407049.06,402199.1618,98.80852245
566,LAKE ARTHUR DAM,SN,96.74021986,4.14,3289,671262.9091,4314357.869,1909,107312.934,85796.6766,79.94998683
577,LAKE ELEANOR,SN,96.74021986,204.61,6576,774213.3062,4207249.538,1918,34290799.6,32309947.7,94.22337209
579,LAKE FORDYCE,SN,96.74021986,78.09,9498,715766.4444,4361731.813,1926,60317269.8,59692797.67,98.96468768
580,LAKE FRANCIS,SN,96.74021986,16.32,1828,654794.0946,4358058.132,1905,2349783.21,2172725.17,92.4649202
587,LAKE JANE,SN,96.74021986,8.29,22282,782613.9565,4106236.873,1961,224493.724,184156.5274,82.03192684
591,LAKE LEONA,SN,96.74021986,3.37,21916,651024.3908,4352432.683,1960,239295.508,220704.0984,92.23077367
597,LAKE MADRONE,SN,96.74021986,38.59,11324,636705.1655,4389915.554,1931,246696.4,90982.02305,36.88015838
599,LAKE MARY,SN,96.74021986,0.67,9498,730210.2937,4354369.405,1926,212158.904,206093.8936,97.14128879
605,LAKE SPAULDING,SN,96.74021986,305.62,4750,703286.5571,4355471.704,1913,92231149.59,89874755.53,97.44512123
606,LAKE STERLING,SN,96.74021986,2.59,1/1/1877,716125.5619,4359149.859,1877,2032778.336,1996917.607,98.23587607
608,LAKE TABEAUD,SN,96.74021986,1.94,367,704051.5405,4246838.513,1901,1443173.94,1420797.167,98.449475
610,LAKE THEODORE,SN,96.74021986,1.81,1/1/1896,672249.5902,4315489.702,1896,255330.774,234187.627,91.71931112
611,LAKE VALLEY,SN,96.74021986,12.3,4019,707100.9375,4352610.253,1911,10024508.21,9894383.924,98.70193842
612,LAKE VERA,SN,96.74021986,30.3,9498,670157.5543,4351901.528,1926,167753.552,52869.01799,31.51588587
615,LAKE WYANDOTTE,SN,96.74021986,7.77,8767,635840.7081,4373987.037,1924,1603526.6,1532294.732,95.55779943
618,LAKEWOOD,SN,96.74021986,17.09,21551,667078.7761,4314083.123,1959,203524.53,148679.7672,73.0525049
622,LARSON,SN,96.74021986,1.4,23012,874132.7779,3995426.918,1963,400881.65,393156.0266,98.07284184
629,LCRMF,SN,96.74021986,0.19,32509,701632.0277,4209208.13,1989,482291.462,481789.3544,99.89589125
633,LELAND MEADOWS,SN,96.74021986,0.96,28491,764341.1777,4235811.745,1978,97445.078,93633.80232,96.08879612
644,LITTLE GRASS VY,SN,96.74021986,70.71,22282,669564.2436,4398527.387,1961,114726160.8,114316934,99.64330122
653,LOMA RICA AIRPORT,SN,96.74021986,0.52,23743,673660.6226,4343095.355,1965,115947.308,113189.8033,97.62176051
654,LONG LAKE,SN,96.74021986,2.93,13881,699323.2602,4397575.886,1938,1823086.396,1799739.95,98.71939992
657,LONGLEY,SN,96.74021986,4.25,3654,884818.2165,4135123.779,1910,219559.796,178141.8691,81.13592395
659,LOON LAKE,SN,96.74021986,20.98,23012,732944.8283,4320381.487,1963,94361373,94243780.22,99.87538039
664,LOS VERJELS,SN,96.74021986,126.91,5480,648027.18,4358851.676,1915,2257272.06,1290935.002,57.19004923
665,LOST CREEK,SN,96.74021986,77.7,8767,660187.9395,4382040.195,1924,7006177.76,6654088.016,94.97458163
666,LOST LAKE EAST,SN,96.74021986,0.26,9133,766028.269,4281794.829,1925,308370.5,305965.5577,99.22011272
